id,category,description,location,riskLevel
3004,security,"hostel main entry doors breached, intruder threatening occupants. Please resolve this quickly.",Hostel E Water Tank Area,high
2607,sanitation,"kitchen waste disposal clogged, attracting stray animals near entrance",Hostel B Main Electrical Room,medium
2619,sanitation,blocked urinal overflowing dirty water onto restroom floor. Very concerning situation.,Hostel B Corridor 3rd Floor,medium
2967,security,emergency security phone box on campus pathway broken and unresponsive,Hostel D Room 412,medium
3118,other,room curtain rod bracket is slightly bent,Hostel C Room 305,low
3378,other,toxic fume release from basement laboratory drifting into student dorms,Hostel D Server Rack Room,high
1641,network,DNS lookup seems slightly delayed on hostel subnet. Happening since last night.,Hostel E Room 501,low
1005,electrical,fluorescent tube in bathroom takes a few seconds to light up,Hostel B Balcony,low
2461,structural,roof concrete slab cracking open with pieces falling into top floor rooms. Happening since last night.,Hostel A Room 102,high
1880,network,"data center core switch overheating and shutdown, all emergency lines down. Please send someone to check as soon as possible.",Hostel B Main Electrical Room,high
1519,plumbing,Sewage pipe burst with toxic foul water overflowing across hostel hallway,Central Canteen Kitchen Area,high
1875,network,"ransomware or malicious attack suspected, all gateway routers failing simultaneously",Hostel D Terrace Access,high
1790,network,DHCP server not assigning IP addresses to students on hostel network,Hostel E Water Tank Area,medium
2515,sanitation,dust accumulated on common room window ledges. Very concerning situation.,Hostel C Staircase,low
1196,electrical,two sockets in room 214 have completely stopped providing power. Students are worried about safety.,Hostel C Basement Study Room,medium
2525,sanitation,recycling bin overflowing with empty cardboard boxes,Hostel C Staircase,low
1195,electrical,"room circuit tripped twice while running iron and laptop, power cutoff in our room. Please send someone to check as soon as possible.",Hostel A Room 102,medium
3028,security,kidnapping or severe security threat reported on campus grounds,Hostel D Room 412,high
1136,electrical,sparking sound heard when inserting 3-pin laptop adapter into wall socket. Needs urgent inspection.,Hostel D Terrace Access,medium
1747,network,local area network down for all rooms on the west corridor,Hostel D Terrace Access,medium
1247,electrical,student got electrical shock from metallic water cooler body on floor 2,Hostel B Corridor 3rd Floor,high
3334,other,"roof water tank collapsed through ceiling into top floor rooms, students trapped",Hostel D Cafeteria,high
1127,electrical,"room circuit tripped twice while running iron and laptop, power cutoff in our room. Needs urgent inspection.",Hostel C Staircase,medium
1561,plumbing,water entering room through light fixtures from flooded floor above. Please send someone to check as soon as possible.,Hostel A Ground Floor Lobby,high
1845,network,"ransomware or malicious attack suspected, all gateway routers failing simultaneously. Very concerning situation.",Hostel C Basement Study Room,high
1335,plumbing,bathroom sink tap handle is a bit tight to turn off completely,Hostel D Cafeteria,low
3284,other,student trapped inside study room due to jammed door knob,Hostel B Main Electrical Room,medium
2245,structural,wardrobe door hinge is squeaking and slightly misaligned. Needs urgent inspection.,Hostel B Balcony,low
2067,fire_safety,emergency exit staircase blocked by discarded furniture and old mattresses. Happening since last night.,Gymnasium Locker Room,medium
2835,security,intercom phone to main guard gate has slight static noise. Reported this earlier today.,Gymnasium Locker Room,low
1201,electrical,"exposed live wire hanging near wet washroom entrance, serious shock hazard. Students are worried about safety.",Hostel A Room 102,high
1413,plumbing,Toilet flush mechanism broken and overflowing into drainage pan. needs urgent inspection.,Main Auditorium Hall B,medium
1179,electrical,two sockets in room 214 have completely stopped providing power. Happening since last night.,Academic Block 1 Room 101,medium
2630,sanitation,stagnant water pool near water purifier breeding mosquitoes. Happening since last night.,Hostel F Room 118,medium
2421,structural,"severe structural compromise, beam cracking loudly above dining hall. Kindly update ticket status once inspected.",Hostel E Room 501,high
1957,fire_safety,plastic cover on emergency break-glass box is cracked,Hostel C Basement Study Room,low
2597,sanitation,dustbin in common corridor is full and needs daily emptying,Hostel E Water Tank Area,low
1307,plumbing,"Tap slowly dripping in bathroom sink, bucket placed underneath",Gymnasium Locker Room,low
2645,sanitation,black mold spreading rapidly along damp bathroom walls and ceiling,Hostel C Staircase,medium
1801,network,"catastrophic network outage across entire institution, security systems offline",Hostel E Water Tank Area,high
2122,fire_safety,explosion sound followed by fire in chemical storage room near lab,Hostel A Floor 2 Washroom,high
1818,network,"all core routers offline, mission critical services and monitoring halted. Reported this earlier today.",Hostel B Corridor 3rd Floor,high
1100,electrical,reading light bulb needs replacement in the study room,Main Auditorium Hall B,low
1092,electrical,"Study table socket cover plate is loose, need maintenance check",Main Auditorium Hall B,low
1401,plumbing,hot water geyser not heating and leaking water from bottom connection. Kindly update ticket status once inspected.,Hostel F Room 118,medium
1194,electrical,"exhaust fan in floor bathroom stopped working completely, burning smell noticed initially",Hostel B Balcony,medium
3142,other,lost jacket hanging on corridor coat rack,Library 2nd Floor Reading Hall,low
1948,fire_safety,fire bucket sand level is low in ground floor station. Reported this earlier today.,Hostel A Room 102,low
1569,plumbing,"main supply line cracked wide open, stairs transformed into water cascade",Hostel E Room 501,high
3016,security,kidnapping or severe security threat reported on campus grounds. Please send someone to check as soon as possible.,Hostel A Dining Hall,high
2992,security,emergency security phone box on campus pathway broken and unresponsive,Hostel B Main Electrical Room,medium
3147,other,suggestion box key misplaced by hostel committee. Please resolve this quickly.,Library 2nd Floor Reading Hall,low
1375,plumbing,mild condensation on cold water pipe beneath the washbasin,Hostel E Room 501,low
2027,fire_safety,Smoke detector in corridor sounding false alarms intermittently,Hostel C Wing West Common Area,medium
1581,plumbing,"strong LPG gas smell accompanied by water leakage in mess kitchen area, immediate danger",Hostel B Main Electrical Room,high
2486,structural,"large section of concrete ceiling collapsed into room 214, debris on bed. Please resolve this quickly.",Hostel A Dining Hall,high
1265,electrical,main circuit breaker exploded with loud bang and continuous sparks,Hostel E Water Tank Area,high
1427,plumbing,drain pipe clogged and water backing up into bathroom stall. Happening since last night.,Hostel A Ground Floor Lobby,medium
1610,network,ethernet port in room has a loose latch but connection works. Noticeable smell and noise.,Hostel C Staircase,low
2211,structural,wardrobe door hinge is squeaking and slightly misaligned,Hostel C Staircase,low
2193,fire_safety,emergency fire exit completely blocked while fire is spreading in staircase,Hostel C Wing West Common Area,high
2872,security,gate latch on secondary perimeter fence is loose. Students are worried about safety.,Hostel D Cafeteria,low
1423,plumbing,continuous leak from rooftop overhead tank overflow pipe flooding balcony,Hostel B Balcony,medium
3357,other,"deadly venomous snake sighted inside student room under bed, urgent wildlife rescue",Hostel C Wing West Common Area,high
2198,fire_safety,"strong gas leak detected near mess kitchen cylinder bank, hissing sound and heavy smell",Main Auditorium Hall B,high
1982,fire_safety,fire extinguisher inspection tag in hallway expired last month,Hostel B Room 214,low
3021,security,"armed intruder or violent trespasser reported inside hostel block, lockdown needed. Reported this earlier today.",Hostel E Room 501,high
3289,other,student trapped inside study room due to jammed door knob,Hostel B Balcony,medium
2398,structural,false ceiling panel sagging downward in common study room. Noticeable smell and noise.,Hostel B Balcony,medium
1153,electrical,intermittent power cut in entire wing while other wings have electricity,Hostel A Dining Hall,medium
2161,fire_safety,"flames visible from waste disposal chute on ground floor, spreading fast",Hostel B Corridor 3rd Floor,high
2325,structural,staircase concrete step cracked in half and unstable under foot traffic,Central Canteen Kitchen Area,medium
2348,structural,main corridor entrance glass door cracked and rattling in high wind,Hostel C Room 305,medium
2294,structural,room door needs a stopper installed to prevent banging,Hostel A Room 102,low
3116,other,campus bus schedule poster is outdated and needs update,Hostel A Ground Floor Lobby,low
2100,fire_safety,emergency exit door jammed shut and cannot be pushed open from inside. Students are worried about safety.,Hostel A Room 102,medium
2709,sanitation,hazardous medical or chemical waste dumped illegally behind residential block. Students are worried about safety.,Hostel A Room 102,high
1138,electrical,two sockets in room 214 have completely stopped providing power,Hostel B Corridor 3rd Floor,medium
1556,plumbing,"main supply line cracked wide open, stairs transformed into water cascade",Hostel E Room 501,high
2717,sanitation,hazardous medical or chemical waste dumped illegally behind residential block,Hostel A Room 102,high
2051,fire_safety,Fire hose pipe nozzle cracked and leaking during weekly pressure test. please send someone to check as soon as possible.,Hostel D Cafeteria,medium
1002,electrical,Light switch in corridor is stiff to press. needs urgent inspection.,Hostel D Cafeteria,low
2615,sanitation,black mold spreading rapidly along damp bathroom walls and ceiling. Please resolve this quickly.,Hostel B Balcony,medium
3317,other,"passenger elevator cable snapped and safety brake engaged, 4 students trapped inside in darkness",Hostel C Room 305,high
2529,sanitation,dustbin in common corridor is full and needs daily emptying,Hostel C Room 305,low
2512,sanitation,cobwebs gathered in corner of ceiling in hallway,Hostel D Terrace Access,low
2453,structural,"external facade wall collapse crushing walkway below, immediate evacuation required. Kindly update ticket status once inspected.",Hostel C Staircase,high
2154,fire_safety,explosion sound followed by fire in chemical storage room near lab,Hostel C Wing West Common Area,high
1940,fire_safety,emergency exit sign light bulb on floor 1 appears dim. Affecting multiple students.,Hostel C Room 305,low
1738,network,"core floor switch unresponsive, student exams affected. Reported this earlier today.",Library 2nd Floor Reading Hall,medium
2365,structural,staircase concrete step cracked in half and unstable under foot traffic,Library 2nd Floor Reading Hall,medium
1046,electrical,reading light bulb needs replacement in the study room. Students are worried about safety.,Hostel E Room 501,low
2716,sanitation,hazardous medical or chemical waste dumped illegally behind residential block,Hostel E Water Tank Area,high
3212,other,Loud screeching noise from ventilation shaft disrupting sleep. kindly update ticket status once inspected.,Hostel D Server Rack Room,medium
2818,security,visitor sign-in book at security desk is full and needs replacement. Noticeable smell and noise.,Hostel C Staircase,low
3344,other,Severe allergic reaction / anaphylaxis emergency in dining hall,Hostel B Room 214,high
1632,network,speed test shows 5 Mbps instead of usual 50 Mbps in our room,Hostel A Ground Floor Lobby,low
2320,structural,heavy water seepage causing wall to bulge and paint to peel severely,Hostel D Terrace Access,medium
1724,network,local area network down for all rooms on the west corridor. Please send someone to check as soon as possible.,Hostel D Cafeteria,medium
2345,structural,corridor window frame loosened from concrete wall structure,Academic Block 1 Room 101,medium
1139,electrical,"room circuit tripped twice while running iron and laptop, power cutoff in our room",Gymnasium Locker Room,medium
2955,security,electronic biometric access door stuck in open position allowing anyone entry. Affecting multiple students.,Hostel C Staircase,medium
1564,plumbing,sewage pipe burst with toxic foul water overflowing across hostel hallway. Please send someone to check as soon as possible.,Hostel D Server Rack Room,high
2448,structural,corridor floor slab sagging and separating from main wall joint. Very concerning situation.,Hostel C Staircase,high
2022,fire_safety,fire exit route obstructed by heavy storage boxes,Hostel B Balcony,medium
3345,other,"passenger elevator cable snapped and safety brake engaged, 4 students trapped inside in darkness",Hostel C Basement Study Room,high
1577,plumbing,sewage pipe burst with toxic foul water overflowing across hostel hallway,Hostel C Basement Study Room,high
1919,fire_safety,plastic cover on emergency break-glass box is cracked. Affecting multiple students.,Main Auditorium Hall B,low
2954,security,perimeter fence wire cut behind hostel sports ground,Hostel C Staircase,medium
3017,security,"panic alarm triggered in residential wing, active intruder alert",Hostel A Ground Floor Lobby,high
1353,plumbing,Washbasin drain is draining slowly after brushing teeth,Gymnasium Locker Room,low
2204,structural,small hairline crack on bedroom plaster near the window sill. Please resolve this quickly.,Gymnasium Locker Room,low
1207,electrical,main circuit breaker exploded with loud bang and continuous sparks,Hostel D Terrace Access,high
2778,sanitation,hazardous medical or chemical waste dumped illegally behind residential block,Hostel B Main Electrical Room,high
3248,other,loud screeching noise from ventilation shaft disrupting sleep. Affecting multiple students.,Gymnasium Locker Room,medium
1300,electrical,"active electrical fire in junction box near room 305, burning plastic smell and flames",Gymnasium Locker Room,high
2364,structural,Main corridor entrance glass door cracked and rattling in high wind,Hostel A Dining Hall,medium
2549,sanitation,water cooler drip tray needs cleaning and sanitizing,Hostel C Basement Study Room,low
1870,network,network core failure disabling campus biometric security gates and CCTV stream. Students are worried about safety.,Hostel D Server Rack Room,high
2941,security,ground floor window security grill loose and screws removed. Kindly update ticket status once inspected.,Main Auditorium Hall B,medium
1216,electrical,"smoke billowing from electrical duct on third floor, emergency isolation needed. Happening since last night.",Hostel D Cafeteria,high
1050,electrical,power outlet feels a little loose when plugging in laptop charger,Hostel C Wing West Common Area,low
1937,fire_safety,smoke detector green indicator LED is not blinking in room 104. Very concerning situation.,Library 2nd Floor Reading Hall,low
3099,security,"Student assaulted in hostel staircase, immediate security and medical dispatch required",Hostel A Floor 2 Washroom,high
1927,fire_safety,emergency exit sign light bulb on floor 1 appears dim,Hostel C Basement Study Room,low
2756,sanitation,severe contamination of drinking water system with sewage infiltration,Hostel D Terrace Access,high
3204,other,Broken glass bottles scattered across basketball court walkway,Hostel B Balcony,medium
1596,plumbing,flooding in basement electrical substation from burst storm drain pipe,Central Canteen Kitchen Area,high
3316,other,severe chemical spill in corridor causing eye irritation and breathing distress. Happening since last night.,Hostel D Cafeteria,high
1994,fire_safety,plastic cover on emergency break-glass box is cracked,Hostel F Room 118,low
1212,electrical,student got electrical shock from metallic water cooler body on floor 2,Hostel E Water Tank Area,high
3351,other,toxic fume release from basement laboratory drifting into student dorms. Please resolve this quickly.,Hostel A Room 102,high
1916,fire_safety,hose reel cabinet door latch is stiff to open,Hostel D Cafeteria,low
2518,sanitation,housekeeping missed morning sweeping in wing C corridor,Library 2nd Floor Reading Hall,low
1528,plumbing,flooding in basement electrical substation from burst storm drain pipe. Happening since last night.,Hostel D Terrace Access,high
2984,security,emergency security phone box on campus pathway broken and unresponsive. Please send someone to check as soon as possible.,Hostel F Room 118,medium
2205,structural,wooden study desk drawer sticks when opening,Academic Block 1 Room 101,low
1485,plumbing,toilet flush mechanism broken and overflowing into drainage pan. Noticeable smell and noise.,Gymnasium Locker Room,medium
2162,fire_safety,"flames visible from waste disposal chute on ground floor, spreading fast",Hostel C Room 305,high
2173,fire_safety,major electrical fire spreading along cable tray across residential floor. Please send someone to check as soon as possible.,Central Canteen Kitchen Area,high
3180,other,clock in study room is running 15 minutes slow,Hostel D Server Rack Room,low
1268,electrical,student got electrical shock from metallic water cooler body on floor 2. Very concerning situation.,Hostel B Room 214,high
1037,electrical,reading light bulb needs replacement in the study room,Hostel C Room 305,low
1926,fire_safety,plastic cover on emergency break-glass box is cracked. Very concerning situation.,Central Canteen Kitchen Area,low
2542,sanitation,dustbin in common corridor is full and needs daily emptying. Kindly update ticket status once inspected.,Hostel A Floor 2 Washroom,low
1119,electrical,"room circuit tripped twice while running iron and laptop, power cutoff in our room. Reported this earlier today.",Hostel D Room 412,medium
2064,fire_safety,fire alarm panel beeping continuously with yellow fault warning light. Happening since last night.,Hostel B Balcony,medium
2596,sanitation,recycling bin overflowing with empty cardboard boxes,Hostel B Room 214,low
1113,electrical,power socket feels warm to the touch after using for an hour. Affecting multiple students.,Hostel D Cafeteria,medium
1751,network,"wifi access point on 2nd floor completely dead, no SSID broadcasting",Hostel A Dining Hall,medium
3250,other,loud screeching noise from ventilation shaft disrupting sleep,Hostel C Staircase,medium
1308,plumbing,shower head has slightly low water pressure in room washroom,Hostel B Room 214,low
1857,network,network core failure disabling campus biometric security gates and CCTV stream,Central Canteen Kitchen Area,high
3206,other,elevator getting stuck between floors 2 and 3 intermittently,Main Auditorium Hall B,medium
2605,sanitation,"kitchen waste disposal clogged, attracting stray animals near entrance",Gymnasium Locker Room,medium
2308,structural,sunshade slab outside 2nd floor window showing visible cracks and sag. Very concerning situation.,Hostel A Dining Hall,medium
3058,security,"violent altercation with weapons reported in common room, students in danger",Hostel C Wing West Common Area,high
2958,security,electronic biometric access door stuck in open position allowing anyone entry,Hostel C Wing West Common Area,medium
1075,electrical,light switch in corridor is stiff to press. Needs urgent inspection.,Hostel F Room 118,low
2586,sanitation,"Minor bad odor from washroom floor drain, needs disinfectant. kindly update ticket status once inspected.",Hostel D Terrace Access,low
2788,sanitation,"main sewage line ruptured inside hostel corridor, raw sewage flooding rooms. Noticeable smell and noise.",Hostel D Cafeteria,high
2233,structural,skirting board along corridor wall is coming loose,Hostel D Server Rack Room,low
2775,sanitation,"dead animal decomposing in central water supply storage tank, water contaminated",Hostel A Ground Floor Lobby,high
1776,network,"core floor switch unresponsive, student exams affected. Affecting multiple students.",Library 2nd Floor Reading Hall,medium
2257,structural,wardrobe door hinge is squeaking and slightly misaligned,Hostel C Basement Study Room,low
3387,other,severe chemical spill in corridor causing eye irritation and breathing distress. Students are worried about safety.,Academic Block 1 Room 101,high
1283,electrical,"exposed live wire hanging near wet washroom entrance, serious shock hazard. Noticeable smell and noise.",Hostel D Cafeteria,high
1418,plumbing,hot water geyser not heating and leaking water from bottom connection,Hostel D Terrace Access,medium
1959,fire_safety,emergency evacuation map near lift lobby is faded,Hostel F Room 118,low
3312,other,"student medical emergency: unconscious student having seizure in room 305, ambulance needed",Hostel A Ground Floor Lobby,high
2174,fire_safety,major electrical fire spreading along cable tray across residential floor,Gymnasium Locker Room,high
1432,plumbing,toilet flush mechanism broken and overflowing into drainage pan. Reported this earlier today.,Hostel D Room 412,medium
2852,security,corridor security camera dome cover is dusty,Hostel E Room 501,low
1744,network,Local area network down for all rooms on the west corridor. please resolve this quickly.,Hostel F Room 118,medium
3155,other,campus bus schedule poster is outdated and needs update. Please send someone to check as soon as possible.,Academic Block 1 Room 101,low
